Institution Short Name/Consortium,Institution Full Name,Address Line 1,Address Line 2,Country,City,Postal Code,Link,Department,IR,Consortium members,Region,Show members
IPHC,Institut Pluridisciplinaire Hubert Curien (IPHC) Strasbourg,IPHC (UMR 7178) 23 rue du Loess - BP 2 67037 Strasbourg Cedex 2,-,France,Strasbourg,67037,http://www.iphc.cnrs.fr/,-,Isabelle   Ripp-Baudot,-,Europe,IPHC
LAL,Laboratoire de Laccelerateur lineaire (LAL) Orsay,Batiment 200 BP34 91898 ORSAY Cedex,-,France,Orsay,91898,https://www.lal.in2p3.fr/,Centre Scientifique Orsay,Karim   Trabelsi,-,Europe,LAL
Xavier,St. Francis Xavier University,4130 University Avenue,-,Canada,Antigonish,B2G 2W5,https://www.stfx.ca,Physics,Hossain   Ahmed,-,America,Xavier
NUU-Taiwan,National United Univ.(NUU),"No.1, Lien Da",Kung Ching Li,Taiwan,Miaoli city,36003,http://www.nuu.edu.tw/english/eintr11.html,-,Chung-Hsiang   Wang,-,Asia,NUU-Taiwan
IFIC,Instituto de Fisica Corpuscular(IFIC),Calle Catedratico Jose Beltran 2,-,Spain,Paterna,46980,http://webific.ific.uv.es/web/,Fisica Experimental (Experimental Physics),Carlos   Marinas,-,Europe,IFIC
Kitasato,Kitasato University,1-15-1 Kitazato,-,Japan,Sagamihara,252-0373,https://www.kitasato-u.ac.jp/sci/en/,Department of Physics,Takeo   Kawasaki,-,Japan,Kitasato
Bonn,Univ. of Bonn,Nussallee 12,-,Germany,Bonn,D-53115,http://hep1.physik.uni-bonn.de/,Department of Physics and Astronomy,Jochen   Dingfelder,-,Europe,Bonn
USTC,Univ. of Science and Technology of China(USTC),Hefei,Anhui,China,Hefei,230026,http://mphy.ustc.edu.cn/,Department of Modern Physics,Wenbiao   Yan,-,Asia,USTC
Florida,Univ. of Florida,"P.O.Box 118440, Gainesville, FL,",-,U.S.A.,Gainesville,32611-8440,https://www.phys.ufl.edu/wp/,Dept. of Physics,John   Yelton,-,America,Florida
TelAviv,Tel Aviv University,-,-,Israel,Tel Aviv,-,https://physics.tau.ac.il/bsc_physics_math,Raymond & Beverly Sackler School of Physics & Astronomy,Abner   Soffer,-,Asia,TelAviv
Fu-Jen,Fu Jen Catholic Univ.(FJU),No. 510 Jhongjheng Rd.,Sinjhuang,Taiwan,Taipei,242,http://www.phy.fju.edu.tw/Fju_Phys_V2/,Physics Department,Ming-Chuan   Chang,-,Asia,Fu-Jen
Mainz,Johannes Gutenberg Univ.  of Mainz,Johann-Joachim-Becher-Weg 45,-,Germany,Mainz,D-55128,https://www.iph.uni-mainz.de/,-,Concettina   Sfienti,-,Europe,Mainz
Yamagata,Yamagata Univ.,1-4-12 Kojirakawa-machi,-,Japan,Yamagata-shi,990-8560,https://www.yamagata-u.ac.jp/en/,Institute of Arts and Sciences,Katsumi   Senyo,-,Japan,Yamagata
IOP ,Institute of physics ,10 Dao Tan,Ba Dinh,Viet Nam,Hanoi,-,https://www.iop.vast.ac.vn/index.php?slang=en,Vietnam academy of science and technology (VAST) ,Anh-Ky   Nguyen,-,Asia,IOP 
Okinawa,Okinawa Institute of Science and Technology Graduate University,1919-1 Tancha Onna-son,-,Japan,"Kunigami, Okinawa",904-0495,https://www.oist.jp/,-,Milind   Purohit,-,Japan,Okinawa
Prague,Charles Univ. Prague,Ke Karlovu 3,-,Czechia,Praha,121 16,http://www.mff.cuni.cz/,Institute of Particle and Nuclear Physics,Zdenek   Dolezal,-,Europe,Prague
Krakow,Institute of Nuclear Physics PAN,ul. Radzikowskiego 152,-,Poland,Krakow,31 342,http://www.ifj.edu.pl/:var1lang=en,"Division of Particle Physics and Astrophysics, Department of Leptonic Interactions",Maria   Rozanska,-,Europe,Krakow
Tata,Tata Institute of Fundamental Research,Homi Bhabha Road,Colaba,India,Mumbai,400 005,http://www.tifr.res.in/,Department of High Energy Physics,Gagan Bihari  Mohanty,-,Asia,Tata
Cinvestav-IPN,Centro de Investigacion y de Estudios avanzados del Instituto Politecnico Nacional,Av. I.P.N. 2508Col. San Pedro Zacatenco,-,Mexico,Mexico City,7360,http://www.belle2.fis.cinvestav.mx/,Departamento de Fisica,Eduard  De La  Cruz Burelo,-,America,Cinvestav-IPN
Fudan,Fudan Univ.,"220 Handan Rd., Yangpu District",-,China,Shanghai,200433,http://www.fudan.edu.cn/en/,Key Laboratory of Nuclear Physics and Ion-beam Application (MOE) and Institute of Modern Physics,Xiaolong   Wang,-,Asia,Fudan
Indiana,Indiana Univ.,2401 N Milo B. Sampson Lane,-,U.S.A.,Bloomington,IN 47408,http://ceem.indiana.edu/,Center for Exploration of Energy and Matter (CEEM),William Wescott  Jacobs,-,America,Indiana
Toho,Toho Univ.,2-2-1 Miyama Funabashi-shi Chiba,-,Japan,Funabashi-shi,274-8510,http://www.toho-u.ac.jp/english/index.html,Department of Physics,Hiroshi   Shibuya,-,Japan,Toho
Wayne-State,Wayne State Univ.,-,-,U.S.A.,Detroit,MI 48202,http://wayne.edu/,"College of Science, Department of Physics and Astronomy",David   Cinabro,-,America,Wayne-State
VPI,Virginia Polytechnic Institute and State Univ.(Virginia Tech),315 A Robeson Hall,-,U.S.A.,Blacksburg,VA 24061-0435,http://www.vt.edu/,Department of Physics,Leo   Piilonen,-,America,VPI
Adelaide,Univ. of Adelaide,-,-,Australia,Adelaide,SA 5005,https://sciences.adelaide.edu.au/physical-sciences/,Department of Physics,Paul Douglas  Jackson,-,Asia,Adelaide
UAS,Universidad Autonoma de Sinaloa(UAS),Culiacan,-,Mexico,Sinaloa,CP 80000,http://www.uas.edu.mx/,"Facultad de Ciencias FÃ­sico MatemÃ¡ticas, Cd. Universitaria",Pedro  Luis Manuel  Podesta lerma,-,America,UAS
LPI,P.N. Lebedev Physics Institute(LPI),53 Leninskiy Prospekt,-,Russia,Moscow,119991,http://www.lebedev.ru/en,-,Pavel   Pakhlov,-,Russia,LPI
Osaka-City,Osaka City Univ,3-3-138 Sugimoto Sumiyoshi-ku,-,Japan,Osaka-City,558-8585,http://www.osaka-cu.ac.jp/english/,Department of Physics,Masako   Iwasaki,-,Japan,Osaka-City
Tabuk,Univ. of Tabuk,-,-,Saudi Arabia,Tabuk,71451,https://www.ut.edu.sa/en,"College of Science, Dept.of Physics",Rachid   Ayad,-,Asia,Tabuk
